"Tasks","Status","Assignees","Lists"
"Python Code","Done","","#terminal-app-blackjack"
"Other Criteria","Done","","#terminal-app-blackjack"
"Functions Written ","Done","","#terminal-app-blackjack"
"Function2","Done","","#terminal-app-blackjack"
"Function3","Done","","#terminal-app-blackjack"
"Function4","Done","","#terminal-app-blackjack"
"Function5","Done","","#terminal-app-blackjack"
"Function6+","Done","","#terminal-app-blackjack"
"Bug Testing","Done","","#terminal-app-blackjack"
"Handles All Possible Errors","Done","","#terminal-app-blackjack"
"Test Case 1","Done","","#terminal-app-blackjack"
"Test Case 2","Done","","#terminal-app-blackjack"
"Test Play","Done","","#terminal-app-blackjack"
"DRY Principle","Done","","#terminal-app-blackjack"
"Script That Makes Progam a exe","Done","","#terminal-app-blackjack"
"Python Package/s","Done","","#terminal-app-blackjack"
"Package 1","Done","","#terminal-app-blackjack"
"Package 2","Done","","#terminal-app-blackjack"
"Package 3","Done","","#terminal-app-blackjack"
"Package 4","Done","","#terminal-app-blackjack"
"Readme Documentaion","To do","","#terminal-app-blackjack"
"Outline and describe Features Present","Done","","#terminal-app-blackjack"
"Show Proof of use of Project Planner","To do","","#terminal-app-blackjack"
"Referenced Sources","To do","","#terminal-app-blackjack"
"Link to Repo","To do","","#terminal-app-blackjack"
"Identify style guide or styling conventions","Done","","#terminal-app-blackjack"
"Help Documention","Done","","#terminal-app-blackjack"
"Presentation","To do","","#terminal-app-blackjack"
"Features Listed","To do","","#terminal-app-blackjack"
"Walkthrough of logic","To do","","#terminal-app-blackjack"
"General Progress documented","To do","","#terminal-app-blackjack"
"Favourite Parts","To do","","#terminal-app-blackjack"
"Gameplay Loop Recorded","To do","","#terminal-app-blackjack"
"20 Commits to Repo","Done","","#terminal-app-blackjack"
"5-10 Commits","Done","","#terminal-app-blackjack"
"11-15 Commits","Done","","#terminal-app-blackjack"
"16-20 Commits","Done","","#terminal-app-blackjack"
"20+ Commits","Done","","#terminal-app-blackjack"
"Extra Stuff","To do","","#terminal-app-blackjack"
"Create leaderboard using .csv file","To do","","#terminal-app-blackjack"
