"Tasks","Status","Assignees","Lists"
"Readme Documentaion","To do","","#terminal-app-blackjack"
"Outline and describe Features Present","To do","","#terminal-app-blackjack"
"Show Proof of use of Project Planner","To do","","#terminal-app-blackjack"
"Referenced Sources","To do","","#terminal-app-blackjack"
"Link to Repo","To do","","#terminal-app-blackjack"
"Help Documention","To do","","#terminal-app-blackjack"
"Presentation","To do","","#terminal-app-blackjack"
"Features Listed","To do","","#terminal-app-blackjack"
"Walkthrough of logic","To do","","#terminal-app-blackjack"
"General Progress documented","To do","","#terminal-app-blackjack"
"Favourite Parts","To do","","#terminal-app-blackjack"
"Difficult Parts","To do","","#terminal-app-blackjack"
"Gameplay Loop Recorded","To do","","#terminal-app-blackjack"
"20 Commits to Repo","To do","","#terminal-app-blackjack"
"Extra Stuff","To do","","#terminal-app-blackjack"
"Create leaderboard using .csv file","To do","","#terminal-app-blackjack"
